Mechanism,Community_ID,Manuscript_label,Community_size,Library,Term,Overlap,P_value,Adjusted_P_value,Odds_Ratio,Combined_Score,Genes
DNA-RNA cross-attention,3,C3,165,Reactome_2022,M Phase R-HSA-68886,11/380,3.265e-04,2.733e-02,3.768,30.247,RAB1A;AHCTF1;XPO1;RCC2;LMNA;NEK7;PSME4;TPR;KIF2C;LPIN1;LBR
DNA-RNA cross-attention,3,C3,165,MSigDB_Hallmark_2020,G2-M Checkpoint,8/200,2.614e-04,9.148e-03,5.213,43.006,STIL;SFPQ;XPO1;MTF2;RPA2;KIF2C;LBR;SRSF10
DNA-RNA cross-attention,3,C3,165,MSigDB_Hallmark_2020,Myc Targets V1,7/200,1.383e-03,2.421e-02,4.509,29.683,XPO1;PABPC4;SNRPG;HNRNPR;CCT7;ILF2;CCT4
DNA-RNA cross-attention,5,,349,KEGG_2021_Human,Carbohydrate digestion and absorption,6/47,1.588e-04,3.463e-02,8.367,73.189,AMY2A;AMY1A;AMY1C;TAS1R2;ATP1A1;TAS1R3
DNA-RNA cross-attention,6,,419,Reactome_2022,Formation Of Cornified Envelope R-HSA-6809371,9/74,2.366e-05,1.978e-02,6.591,70.203,LCE2A;LCE5A;PKP1;LCE1F;SPRR1A;LCE1C;IVL;LCE2D;SPRR2D
DNA-RNA cross-attention,7,,457,MSigDB_Hallmark_2020,Glycolysis,16/200,1.536e-05,7.067e-04,3.817,42.309,B4GALT2;SLC35A3;MDH1;SDC3;AKR1A1;TGFA;SDHC;B3GALT6;CENPA;HK2;HS2ST1;UGP2;ARTN;STMN1;SDC1;ALDH9A1
DNA-RNA cross-attention,7,,457,MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,14/199,2.041e-04,4.694e-03,3.307,28.098,RABGAP1L;CSF1;S100A1;TNFRSF9;RGS16;ODC1;HK2;SELP;SHE;SPRED2;UCK2;TNFRSF8;CD48;GALM
DNA-RNA cross-attention,7,,457,MSigDB_Hallmark_2020,E2F Targets,11/200,6.454e-03,4.957e-02,2.526,12.737,CDKN2C;RRM2;UBE2T;STMN1;ANP32E;USP1;AK2;CDCA8;CTPS1;SMC6;CKS1B
DNA-RNA cross-attention,7,,457,MSigDB_Hallmark_2020,Oxidative Phosphorylation,11/200,6.454e-03,4.957e-02,2.526,12.737,HADHA;COX7A2L;MDH1;MGST3;TIMM17A;MFN2;NDUFS2;SDHC;ACADM;SDHB;LRPPRC
DNA-RNA cross-attention,7,,457,MSigDB_Hallmark_2020,heme Metabolism,11/200,6.454e-03,4.957e-02,2.526,12.737,MGST3;SLC2A1;MBOAT2;SLC30A1;CTSE;YPEL5;GCLM;ERMAP;RHCE;RAP1GAP;RHD
DNA-RNA cross-attention,7,,457,MSigDB_Hallmark_2020,Protein Secretion,7/96,6.466e-03,4.957e-02,3.400,17.141,STX12;ARF1;RER1;ANP32E;KIF1B;VPS45;SCAMP3
RNA self-attention,0,,654,GO_Biological_Process_2023,Detection Of Chemical Stimulus Involved In Sensory Perception Of Smell (GO:0050911),21/139,5.029e-09,7.802e-06,5.406,103.296,OR10K2;OR2T27;OR6K6;OR2G6;OR6K2;OR6N2;OR2L3;OR10T2;OR6N1;OR2M2;OR10R2;OR2T8;OR2T34;OR2T35;OR2T10;OR2T11;OR2T5;OR2T4;OR10Z1;OR2T3;OR2AJ1
RNA self-attention,0,,654,GO_Biological_Process_2023,Detection Of Chemical Stimulus Involved In Sensory Perception (GO:0050907),21/141,6.540e-09,7.802e-06,5.315,100.168,OR10K2;OR2T27;OR6K6;OR2G6;OR6K2;OR6N2;OR2L3;OR10T2;OR6N1;OR2M2;OR10R2;OR2T8;OR2T34;OR2T35;OR2T10;OR2T11;OR2T5;OR2T4;OR10Z1;OR2T3;OR2AJ1
RNA self-attention,0,,654,GO_Biological_Process_2023,Sensory Perception Of Smell (GO:0007608),21/230,2.344e-05,1.864e-02,3.038,32.385,OR10K2;OR2T27;OR6K6;OR2G6;OR6K2;OR6N2;OR2L3;OR10T2;OR6N1;OR2M2;OR10R2;OR2T8;OR2T34;OR2T35;OR2T10;OR2T11;OR2T5;OR10Z1;OR2T4;OR2T3;OR2AJ1
RNA self-attention,0,,654,GO_Biological_Process_2023,Regulation Of Cardiac Muscle Contraction By Calcium Ion Signaling (GO:0010882),6/20,3.128e-05,1.866e-02,12.786,132.618,RYR2;GSTM2;FKBP1B;CASQ2;ATP1B1;SLC9A1
RNA self-attention,0,,654,Reactome_2022,Formation Of Cornified Envelope R-HSA-6809371,11/74,2.701e-05,2.352e-02,5.236,55.081,LCE1A;FLG;LCE1B;LCE4A;TCHH;LCE1E;LCE1F;SPRR1A;LCE1C;IVL;SPRR2D
RNA self-attention,1,C1,679,GO_Biological_Process_2023,mRNA Catabolic Process (GO:0006402),10/43,1.324e-06,3.207e-03,8.737,118.248,NBAS;EXOSC10;PNPT1;YTHDF2;AGO3;THRAP3;TUT4;MRTO4;RC3H1;ZFP36L2
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),16/118,2.433e-06,3.207e-03,4.547,58.777,RPL5;RPS7;UTP11;RPS8;PNO1;WDR3;HEATR1;RPL11;NOC2L;WDR43;EBNA1BP2;RPS27;XPO1;EXOSC10;MRTO4;MPHOSPH10
RNA self-attention,1,C1,679,GO_Biological_Process_2023,"mRNA Splicing, Via Spliceosome (GO:0000398)",21/211,1.106e-05,7.503e-03,3.213,36.672,SF3B4;SF3A3;PRPF38A;RBM8A;SF3B6;DDX1;WDR77;GCFC2;SFPQ;SCNM1;SYF2;PRPF3;SDE2;SNRPG;RSRP1;PPIE;SNRNP27;GEMIN6;PPIH;SNRPE;BCAS2
RNA self-attention,1,C1,679,GO_Biological_Process_2023,mRNA Destabilization (GO:0061157),9/43,1.138e-05,7.503e-03,7.620,86.740,MOV10;YTHDF2;AGO3;ROCK2;TUT4;RC3H1;PUM1;TARDBP;ZFP36L2
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Nucleobase-Containing Small Molecule Interconversion (GO:0015949),4/7,4.247e-05,1.981e-02,38.159,384.137,GUK1;AK2;CMPK1;AK4
RNA self-attention,1,C1,679,GO_Biological_Process_2023,protein-RNA Complex Assembly (GO:0022618),16/150,5.246e-05,1.981e-02,3.455,34.055,RPL5;DDX1;RPL11;ADAR;CDC73;WDR77;GCFC2;RPS27;AGO3;EIF3I;SNRPG;RSRP1;EIF2D;GEMIN6;SNRPE;KHDC4
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Regulation Of RNA Metabolic Process (GO:0051252),12/91,5.776e-05,1.981e-02,4.382,42.766,YTHDF2;TAF12;ZNF638;RC3H1;ZNF326;CCNL2;TNFRSF1B;HNRNPLL;PRDX6;METTL18;SUPT7L;CLK2
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Protein Localization To Vacuole (GO:0072665),5/14,6.894e-05,1.981e-02,15.918,152.534,SH3GLB1;SZT2;GLMP;RTN4;LAMTOR5
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),16/155,7.794e-05,1.981e-02,3.330,31.503,RPL5;RPS7;UTP11;RPS8;PNO1;WDR3;HEATR1;RPL11;NOC2L;WDR43;EBNA1BP2;RPS27;XPO1;EXOSC10;MRTO4;MPHOSPH10
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Gene Expression (GO:0010467),24/296,7.971e-05,1.981e-02,2.566,24.217,RPL5;MRPS15;RNASEL;CHTOP;RPS7;RBM8A;NUP133;MRPS14;RPS8;GALNT2;PABPC4;RPL22;RPL11;MRPS21;NOL9;ADAR;MRPL37;MRPL24;RPS27;XPO1;EXOSC10;MPHOSPH10;MRPL9;RPS27A
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Negative Regulation Of Ubiquitin Protein Ligase Activity (GO:1904667),4/8,8.265e-05,1.981e-02,28.618,269.032,MAD2L2;RPL5;RPS7;RPL11
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Golgi Vesicle Transport (GO:0048193),18/197,1.396e-04,2.346e-02,2.912,25.850,TRAPPC3;RAB1A;NBAS;COPA;PEF1;YIPF4;ATL2;COG2;MIA3;KLHL12;SCAMP3;NRBP1;RER1;RAB13;PREB;SEC22B;TMED5;CNIH4
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Regulation Of mRNA Catabolic Process (GO:0061013),8/46,1.411e-04,2.346e-02,6.050,53.641,MOV10;PNPT1;YTHDF2;RBM8A;SERBP1;RC3H1;PUM1;ZFP36L2
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Regulation Of Stem Cell Proliferation (GO:0072091),5/16,1.421e-04,2.346e-02,13.023,115.364,PTPRC;KDM1A;AGO3;EPCAM;EIF2AK2
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Endoplasmic Reticulum To Golgi Vesicle-Mediated Transport (GO:0006888),13/115,1.443e-04,2.346e-02,3.678,32.527,TRAPPC3;RAB1A;COPA;PEF1;YIPF4;ATL2;KLHL12;MIA3;NRBP1;PREB;SEC22B;CNIH4;TMED5
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Regulation Of Complement Activation (GO:0030449),4/9,1.448e-04,2.346e-02,22.893,202.382,CFH;CR1L;SUSD4;CD55
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Translation (GO:0006412),20/234,1.519e-04,2.346e-02,2.710,23.824,RPL5;MRPS15;RPS7;MRPS14;RPS8;PABPC4;RPL22;MRPL19;RPL11;MRPS21;MRPL37;MRPL24;MRPL33;WARS2;RPS27;IARS2;MRPL9;AURKAIP1;RPS27A;DAP3
RNA self-attention,1,C1,679,GO_Biological_Process_2023,rRNA Processing (GO:0006364),12/101,1.604e-04,2.346e-02,3.888,33.971,RPL5;EBNA1BP2;RPS27;EXOSC10;RPS7;WDR3;MRTO4;C1D;RPL11;MPHOSPH10;NOL9;RRP15
RNA self-attention,1,C1,679,GO_Biological_Process_2023,RNA Processing (GO:0006396),17/183,1.737e-04,2.346e-02,2.963,25.656,SF3B4;SF3A3;RNASEL;RBM8A;TUT4;PABPC4;ADAR;NOL9;FBXO11;SFPQ;SCNM1;EXOSC10;PRPF3;SNRPG;MPHOSPH10;TARDBP;BCAS2
RNA self-attention,1,C1,679,GO_Biological_Process_2023,COPII-coated Vesicle Budding (GO:0090114),7/36,1.782e-04,2.346e-02,6.930,59.821,RAB1A;TRAPPC3;PEF1;SH2D2A;KLHL12;MIA3;PREB
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),12/103,1.934e-04,2.346e-02,3.802,32.508,MRPS15;MRPS14;MRPL19;MRPS21;IARS2;MRPL37;MRPL9;TFB2M;MRPL24;SLC25A33;DAP3;MRPL33
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444),5/17,1.958e-04,2.346e-02,11.937,101.924,MAD2L2;RPL5;RPS7;RPL11;PARK7
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Regulation Of Cellular Component Organization (GO:0051128),15/153,2.292e-04,2.533e-02,3.140,26.318,RAB4A;CDK11A;MEAF6;ROCK2;KIF14;PARK7;ATAD3A;CDK11B;RNF2;MTOR;MAD2L2;RAP1A;SNX17;LAMTOR2;CCNL2
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Spliceosomal Complex Assembly (GO:0000245),9/62,2.306e-04,2.533e-02,4.883,40.897,SF3B4;SF3A3;GCFC2;DDX1;SF3B6;SNRPG;RSRP1;SNRPE;KHDC4
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Regulation Of Cell Growth (GO:0001558),19/227,2.875e-04,3.032e-02,2.645,21.570,CDK11A;CDKN2C;MEAF6;KIF14;ENO1;ATAD3A;CDK11B;RTN4;RNF2;MTOR;MAD2L2;ST7L;CDC42;ADAM15;RPS6KA1;SESN2;PPT1;LAMTOR2;SLC25A33
RNA self-attention,1,C1,679,GO_Biological_Process_2023,mRNA Processing (GO:0006397),18/214,3.878e-04,3.932e-02,2.657,20.872,SF3B4;SF3A3;PRPF38A;RBM8A;SF3B6;CPSF3;FBXO11;GCFC2;SFPQ;SYF2;PRPF3;SNRPG;PPIE;SNRNP27;GEMIN6;PPIH;SNRPE;BCAS2
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Mitochondrion Organization (GO:0007005),15/162,4.253e-04,4.152e-02,2.947,22.873,PNPT1;PARP1;MTX1;VPS13D;MTFR1L;PARK7;ATAD3B;TOMM20;ATAD3A;ATAD3C;MSTO1;MFN2;MPV17;SLC25A33;MCL1
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Regulation Of Cell Cycle Process (GO:0010564),13/130,4.860e-04,4.446e-02,3.204,24.443,SH3GLB1;AHCTF1;YTHDF2;KLHL21;PUM1;ARID1A;CDC42;RCC1;NEK2;KIF2C;CCNL2;CEP85;CALM2
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),11/98,4.892e-04,4.446e-02,3.641,27.751,MRPS15;MRPS14;MRPL19;MRPS21;MTIF2;IARS2;MRPL37;MRPL9;MRPL24;DAP3;MRPL33
RNA self-attention,1,C1,679,GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),10/84,5.466e-04,4.803e-02,3.888,29.204,EXOSC10;RPS27;RPS7;UTP11;RPS8;PNO1;WDR3;HEATR1;MPHOSPH10;WDR43
RNA self-attention,1,C1,679,GO_Molecular_Function_2023,RNA Binding (GO:0003723),110/1411,1.112e-16,5.362e-14,2.678,98.364,RPL5;SLC4A1AP;KDM1A;RTCA;GPATCH4;ENO1;PARK7;NOC2L;LSM10;ZNF326;UBAP2L;RPS7;RPS8;RPL22;RC3H1;ILF2;EBNA1BP2;PRPF3;MRTO4;SNRPG;PPIE;SUCLG1;DAP3;KHDRBS1;UTP25;RBM8A;PEF1;DDX1;MRPL19;ISG20L2;C1ORF52;HNRNPLL;ZFP36L2;RTN4;RNASEH1;PRDX1;PCBP1;ERI3;KHDC4;TRMT1L;TOE1;FDPS;PRPF38B;JUN;CHTOP;TIA1;PRPF38A;PNPT1;PNO1;RCC2;CPSF3;PRRC2C;EIF2AK2;PUM1;MOV10;YRDC;RPS27;AGO3;FUBP1;MPHOSPH10;EIF4G3;MRPS15;MRPS14;TUT4;WDR3;ADAR;MRPL37;YBX1;ZCCHC17;WDR43;MRPL9;RBM34;LBR;COA6;LRRC47;RBM15;PARP1;UTP11;PABPC4;MRPS21;TFB2M;TRNAU1AP;GNL2;SRP9;HADHB;SFPQ;SYF2;THRAP3;ZNF638;C1D;SDE2;SF3B4;RNASEL;ROCK2;SF3B6;RPL11;HEATR1;MTIF2;EXOSC10;IFI16;RPS27A;CCT4;SF3A3;TSNAX;YTHDF2;CDK11B;EIF3I;SERBP1;FAM98A;TARDBP
RNA self-attention,1,C1,679,GO_Molecular_Function_2023,mRNA Binding (GO:0003729),23/282,1.021e-04,2.460e-02,2.580,23.714,RPL5;KHDRBS1;CHTOP;TIA1;SLC4A1AP;YTHDF2;RBM15;RPS7;RBM8A;PABPC4;SF3B6;RC3H1;PARK7;HNRNPLL;PUM1;CRYZ;PCBP1;FUBP1;ZNF638;SERBP1;PPIE;TARDBP;EIF4G3
RNA self-attention,1,C1,679,GO_Molecular_Function_2023,Ubiquitin Protein Ligase Binding (GO:0031625),22/271,1.533e-04,2.463e-02,2.565,22.527,RPL5;JUN;FANCL;RPL11;RPA2;YOD1;ISG15;SMC6;BCL10;AUP1;UBE2J2;TNFRSF1B;PRDX6;SCAMP3;RTN4;UBE2T;MFN2;NDUFS2;RPS27A;IKBKE;BLZF1;JAK1
RNA self-attention,1,C1,679,GO_Molecular_Function_2023,miRNA Binding (GO:0035198),6/29,3.647e-04,3.642e-02,7.480,59.217,PNPT1;AGO3;TUT4;RC3H1;YBX1;PUM1
RNA self-attention,1,C1,679,GO_Molecular_Function_2023,Ubiquitin-Like Protein Ligase Binding (GO:0044389),22/289,3.778e-04,3.642e-02,2.390,18.833,RPL5;JUN;FANCL;RPL11;RPA2;YOD1;ISG15;SMC6;BCL10;AUP1;UBE2J2;TNFRSF1B;PRDX6;SCAMP3;RTN4;UBE2T;MFN2;NDUFS2;RPS27A;IKBKE;BLZF1;JAK1
RNA self-attention,1,C1,679,GO_Molecular_Function_2023,Poly-Purine Tract Binding (GO:0070717),6/31,5.336e-04,4.287e-02,6.881,51.855,KHDRBS1;TIA1;PNPT1;DDX1;PABPC4;PPIE
RNA self-attention,1,C1,679,GO_Molecular_Function_2023,acetyl-CoA C-acyltransferase Activity (GO:0003988),3/6,7.216e-04,4.969e-02,28.577,206.728,HADHB;HADHA;SCP2
RNA self-attention,1,C1,679,GO_Cellular_Component_2023,Intracellular Membrane-Bounded Organelle (GO:0043231),255/5175,6.538e-12,1.746e-09,1.760,45.335,RPL5;SLC4A1AP;RTCA;DCAF8;ENO1;SMC6;NOC2L;NFU1;CNST;SCP2;RASSF5;RCC1;UBAP2L;CCNL2;IER5;ZNF281;RPL22;MED8;SCAMP3;WDR77;UHMK1;PSME4;PREB;TSPYL6;AURKAIP1;ATF3;BLZF1;MEAF6;MGST3;MRPL19;PEX11B;BCL10;UBE2J2;HNRNPLL;DGUOK;PRDX1;PCBP1;S100A13;TP53BP2;PUSL1;S100A11;TRMT1L;JUN;RABGAP1L;PRPF38A;IRF2BP2;CDC7;PRDX6;PBX1;MOV10;RPS27;ADI1;FUBP1;PPT1;REL;SPRTN;ID3;CALM2;RNF220;INTS11;DENND1B;BTG2;AHCTF1;ZBTB8OS;MIA3;MED18;XPO1;PEA15;QSOX1;ACADM;IKBKE;TMED5;JAK1;DFFA;PARP1;ANXA4;PABPC4;AGTRAP;CACYBP;ASH1L;PROX1;GNL2;LRRC41;PSMA5;RNF144A;GCFC2;AFTPH;SCNM1;TAL1;TET3;DEPDC1;SDE2;MAPRE3;SF3B4;MYCBP;SLC66A1;SF3B6;NOL9;CENPA;PSMB4;EXOSC10;PSMB2;USP1;GPBP1L1;CHML;NCDN;RPS27A;EPS15;SF3A3;TSNAX;YTHDF2;CDKN2C;SLC16A1;ATP5PB;YIPF4;NFYC;RPA2;HIPK1;AGBL5;MAD2L2;PER3;NFIA;SNX17;SERBP1;TARDBP;YPEL5;CRTC2;KDM1A;GTF2B;ARID4B;PARK7;PPP1CB;MPC2;ZNF326;NEK2;RPS7;RPS8;VRK2;PGD;ILF2;FBXO11;SUPT7L;MSH2;PRPF3;S100A6;SNRPG;CMPK1;SNRNP27;PPIE;SNRPE;PPIH;STAMBP;ZNF672;KHDRBS1;RBM8A;DDX1;ISG20L2;HTRA2;KLHL12;PMF1;ZFP36L2;CAMTA1;KHDC4;SMYD3;MCL1;OSBPL9;CHTOP;TIA1;AKIRIN1;POU2F1;FANCL;POLR3GL;NEK7;GLMP;DHCR24;MACO1;ISG15;ARPC5;CLK2;MOB1A;SCCPDH;GON4L;NASP;UBE2T;RSRP1;PHF13;MDM4;RNF187;B4GALT2;RERE;AQP10;FHL3;DPY30;ADAR;YBX1;MYSM1;ATRAID;CDC73;VPS72;EXO1;LBR;BCAS2;METTL18;KLF11;ACTR2;RBM15;CAD;PPP2R5A;TRNAU1AP;GLRX2;ETV3;ARID1A;TENT5C;DDOST;PPM1B;SFPQ;SYF2;DNAJC6;THRAP3;ZNF638;C1D;ITGB1BP1;TMEM9;AHDC1;FAM72B;ITGB3BP;HDAC1;PRCC;RNF2;PPM1G;UGP2;RBBP4;IFI16;RBBP5;MKNK1;DRAM2;S100PBP;HES4;CDK11A;TAF12;EYA3;SWT1;TPRKB;PDE4DIP;YY1AP1;CDK11B;MTOR;POLE4;PITHD1;FAM98A;KCNK1;LPIN1;SSBP3;TRIM33;OTUD3
RNA self-attention,1,C1,679,GO_Cellular_Component_2023,Nucleus (GO:0005634),222/4487,2.697e-10,3.601e-08,1.715,37.784,RPL5;RTCA;DCAF8;ENO1;SMC6;NOC2L;NFU1;RASSF5;RCC1;UBAP2L;CCNL2;IER5;ZNF281;RPL22;MED8;WDR77;UHMK1;PSME4;PREB;TSPYL6;AURKAIP1;ATF3;BLZF1;MEAF6;MRPL19;BCL10;UBE2J2;HNRNPLL;DGUOK;PRDX1;PCBP1;S100A13;TP53BP2;S100A11;TRMT1L;JUN;RABGAP1L;PRPF38A;IRF2BP2;CDC7;PRDX6;PBX1;MOV10;RPS27;ADI1;FUBP1;PPT1;REL;SPRTN;ID3;CALM2;RNF220;INTS11;BTG2;AHCTF1;ZBTB8OS;MED18;XPO1;ACADM;IKBKE;JAK1;DFFA;PARP1;ANXA4;PABPC4;CACYBP;ASH1L;PROX1;GNL2;LRRC41;PSMA5;GCFC2;SCNM1;TAL1;TET3;DEPDC1;SDE2;MAPRE3;SF3B4;MYCBP;SF3B6;NOL9;CENPA;PSMB4;EXOSC10;PSMB2;USP1;GPBP1L1;CHML;NCDN;RPS27A;SF3A3;TSNAX;YTHDF2;CDKN2C;ATP5PB;NFYC;RPA2;HIPK1;AGBL5;MAD2L2;PER3;NFIA;SERBP1;TARDBP;YPEL5;CRTC2;KDM1A;GTF2B;ARID4B;PARK7;PPP1CB;MPC2;ZNF326;NEK2;RPS7;RPS8;VRK2;PGD;ILF2;FBXO11;SUPT7L;MSH2;PRPF3;S100A6;SNRPG;CMPK1;SNRNP27;PPIE;SNRPE;STAMBP;ZNF672;KHDRBS1;RBM8A;DDX1;ISG20L2;HTRA2;ZFP36L2;CAMTA1;KHDC4;SMYD3;MCL1;CHTOP;TIA1;AKIRIN1;POU2F1;FANCL;POLR3GL;NEK7;GLMP;DHCR24;MACO1;ISG15;ARPC5;CLK2;MOB1A;SCCPDH;GON4L;NASP;UBE2T;RSRP1;PHF13;MDM4;RNF187;RERE;FHL3;DPY30;ADAR;YBX1;MYSM1;CDC73;VPS72;EXO1;LBR;BCAS2;METTL18;KLF11;ACTR2;RBM15;CAD;PPP2R5A;TRNAU1AP;GLRX2;ETV3;ARID1A;TENT5C;PPM1B;SFPQ;SYF2;THRAP3;ZNF638;C1D;ITGB1BP1;AHDC1;ITGB3BP;HDAC1;PRCC;RNF2;PPM1G;UGP2;RBBP4;IFI16;RBBP5;MKNK1;S100PBP;HES4;CDK11A;TAF12;EYA3;SWT1;TPRKB;PDE4DIP;YY1AP1;CDK11B;MTOR;POLE4;PITHD1;FAM98A;LPIN1;SSBP3;TRIM33;OTUD3
RNA self-attention,1,C1,679,GO_Cellular_Component_2023,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),75/1195,1.890e-07,1.682e-05,2.018,31.241,RPL5;ZNF692;MRPS15;TUT4;GTF2B;WDR3;GPATCH4;ADAR;AUP1;NOC2L;MYSM1;WDR43;CDC14A;XPO1;CAPZB;RCC1;RBM34;IER5;METTL18;NUDC;RPS7;PARP1;UTP11;TPM3;ACTN2;GNL2;CCSAP;ILF2;FBXO11;GCFC2;EBNA1BP2;PPM1B;PREPL;MRTO4;C1D;CMPK1;JTB;KIF2C;ITGB1BP1;ARHGEF2;LDAH;ATF3;UTP25;ZNF593;MEAF6;ROCK2;EPB41;RPL11;HEATR1;GNAI3;CDCA8;HTRA2;NOL9;FAAP20;ADD2;SELENBP1;EXOSC10;IFI16;RBBP5;S100A13;CAMTA1;RPS27A;KIAA0319L;PNO1;EIF2AK2;CDC42BPA;YY1AP1;MAD2L2;SCCPDH;RPS27;UBE2T;MPHOSPH10;CEP85;TARDBP;EIF4G3
RNA self-attention,1,C1,679,GO_Cellular_Component_2023,Small-Subunit Processome (GO:0032040),12/73,5.870e-06,3.343e-04,5.680,68.424,UTP25;EXOSC10;RPS27;RPS7;UTP11;RPS8;PNO1;WDR3;HEATR1;MPHOSPH10;RPS27A;WDR43
RNA self-attention,1,C1,679,GO_Cellular_Component_2023,Nuclear Lumen (GO:0031981),51/780,6.261e-06,3.343e-04,2.071,24.815,RPL5;ZNF692;MRPS15;TUT4;WDR3;GPATCH4;ADAR;NOC2L;MYSM1;WDR43;CDC14A;XPO1;RBM34;IER5;METTL18;RPS7;PARP1;UTP11;GNL2;ILF2;FBXO11;GCFC2;EBNA1BP2;PPM1B;MRTO4;C1D;CMPK1;ATF3;UTP25;ZNF593;MEAF6;RPL11;HEATR1;GNAI3;CDCA8;NOL9;SELENBP1;EXOSC10;IFI16;RBBP5;S100A13;CAMTA1;RPS27A;KIAA0319L;JUN;PNO1;YY1AP1;MAD2L2;UBE2T;MPHOSPH10;CEP85
RNA self-attention,1,C1,679,GO_Cellular_Component_2023,Nucleolus (GO:0005730),50/771,9.653e-06,4.296e-04,2.051,23.682,RPL5;ZNF692;MRPS15;TUT4;WDR3;GPATCH4;ADAR;NOC2L;MYSM1;WDR43;CDC14A;XPO1;RBM34;IER5;METTL18;RPS7;PARP1;UTP11;GNL2;ILF2;FBXO11;GCFC2;EBNA1BP2;PPM1B;MRTO4;C1D;CMPK1;ATF3;UTP25;ZNF593;MEAF6;RPL11;HEATR1;GNAI3;CDCA8;NOL9;SELENBP1;EXOSC10;IFI16;RBBP5;S100A13;CAMTA1;RPS27A;KIAA0319L;PNO1;YY1AP1;MAD2L2;UBE2T;MPHOSPH10;CEP85
RNA self-attention,1,C1,679,GO_Cellular_Component_2023,U2-type Spliceosomal Complex (GO:0005684),12/90,5.171e-05,1.972e-03,4.438,43.807,SF3B4;SF3A3;GCFC2;PRPF38A;RBM8A;SYF2;PRPF3;SF3B6;SNRPG;PPIE;SNRPE;BCAS2
RNA self-attention,1,C1,679,GO_Cellular_Component_2023,Precatalytic Spliceosome (GO:0071011),8/52,3.402e-04,1.135e-02,5.223,41.714,SF3B4;SF3A3;PRPF38B;PRPF38A;PRPF3;SF3B6;SNRPG;SNRPE
RNA self-attention,1,C1,679,GO_Cellular_Component_2023,U2 snRNP (GO:0005686),5/25,1.342e-03,3.982e-02,7.159,47.347,SF3B4;SF3A3;SF3B6;SNRPG;SNRPE
RNA self-attention,1,C1,679,GO_Cellular_Component_2023,Mitochondrial Membrane (GO:0031966),32/540,1.718e-03,4.586e-02,1.832,11.662,MRPS15;MRPS14;MRPL19;MRPL37;TOMM20;UQCRH;MRPL33;MSTO1;MPC2;MFN2;MPV17;MRPL9;ACADM;RPS27A;IKBKE;MCL1;MTX1;ATP5PB;MRPS21;SDHC;VRK2;MRPL24;ATAD3A;SDHB;HADHB;HADHA;NDUFS5;AURKAIP1;LPIN1;SLC25A33;DAP3;COX20
RNA self-attention,1,C1,679,KEGG_2021_Human,Spliceosome,15/150,1.843e-04,3.287e-02,3.211,27.608,SF3B4;SF3A3;PRPF38B;PRPF38A;RBM8A;SF3B6;SYF2;PRPF3;PCBP1;SNRPG;PPIE;SNRNP27;PPIH;SNRPE;BCAS2
RNA self-attention,1,C1,679,KEGG_2021_Human,Fatty acid elongation,6/27,2.408e-04,3.287e-02,8.194,68.265,HADHB;ELOVL1;HADHA;ACOT7;PPT1;THEM4
RNA self-attention,1,C1,679,Reactome_2022,Metabolism Of RNA R-HSA-8953854,57/666,1.486e-10,1.728e-07,2.816,63.719,RPL5;TSEN15;TUT4;WDR3;ZBTB8OS;ADAR;YBX1;WDR43;LSM10;XPO1;BCAS2;NDC1;NSUN4;RPS7;NUP133;UTP11;RPS8;TYW3;RPL22;WDR77;PSMA5;GCFC2;EBNA1BP2;SYF2;PRPF3;PSME4;C1D;SNRPG;SNRNP27;PPIE;SNRPE;GEMIN6;PPIH;SF3B4;UTP25;RBM8A;SF3B6;DDX1;RPL11;PRCC;HEATR1;ISG20L2;NOL9;LIN9;PSMB4;EXOSC10;PSMB2;PCBP1;RPS27A;SF3A3;CHTOP;PRPF38A;PNO1;CPSF3;TRIT1;RPS27;MPHOSPH10
