Mechanism,Community_ID,Manuscript_label,Community_size,Library,Term,Overlap,P_value,Adjusted_P_value,Odds_Ratio,Combined_Score,Genes
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Gene Expression (GO:0010467),10/296,1.799e-04,1.011e-02,4.410,38.026,SNRNP40;EXOSC10;XPO1;RBM8A;PABPC4;MAGOH;TPR;NOL9;ADAR;MRPL24
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Regulation Of Cell Cycle (GO:0051726),10/298,1.900e-04,1.011e-02,4.379,37.521,PNPT1;MEAF6;NEK7;HTRA2;PUM1;YY1AP1;CDK11B;RNF2;UCHL5;UHMK1
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Regulation Of mRNA Processing (GO:0050684),4/35,1.916e-04,1.011e-02,15.872,135.866,RBM8A;MAGOH;SRSF10;CDK11B
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Regulation Of mRNA Metabolic Process (GO:1903311),3/15,2.332e-04,1.180e-02,30.591,255.847,RBM8A;MAGOH;CDK11B
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Regulation Of Protein Targeting To Mitochondrion (GO:1903214),4/39,2.933e-04,1.424e-02,14.055,114.327,SH3GLB1;HAX1;HTRA2;RNF2
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Positive Regulation Of Stem Cell Population Maintenance (GO:1902459),4/40,3.238e-04,1.512e-02,13.664,109.794,RBBP4;HDAC1;ARID4B;ARID1A
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Regulation Of Telomerase RNA Localization To Cajal Body (GO:1904872),3/17,3.444e-04,1.548e-02,26.218,209.059,EXOSC10;CCT7;CCT4
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),12/452,3.840e-04,1.665e-02,3.457,27.190,SFPQ;RBBP4;MEAF6;TAF12;ZNF281;MTF2;HP1BP3;GPBP1L1;ASH1L;YY1AP1;CDK11B;SRSF10
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Membrane Organization (GO:0061024),7/167,4.804e-04,2.002e-02,5.448,41.628,SH3GLB1;CCDC88A;EXOC8;LMNA;TOR1AIP2;FNBP1L;S100A10
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Regulation Of Stem Cell Differentiation (GO:2000736),4/45,5.113e-04,2.002e-02,11.995,90.901,YTHDF2;RBBP4;HDAC1;ZFP36L2
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Positive Regulation Of mRNA Catabolic Process (GO:0061014),4/45,5.113e-04,2.002e-02,11.995,90.901,PNPT1;YTHDF2;PUM1;ZFP36L2
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Negative Regulation Of Stem Cell Population Maintenance (GO:1902455),3/20,5.669e-04,2.151e-02,21.588,161.378,RBBP4;HDAC1;ARID4B
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Macromolecule Catabolic Process (GO:0009057),5/85,6.931e-04,2.550e-02,7.717,56.135,SH3GLB1;EXOSC10;PNPT1;PABPC4;HTRA2
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Regulation Of Telomere Maintenance Via Telomerase (GO:0032210),4/51,8.253e-04,2.947e-02,10.460,74.265,EXOSC10;NEK7;CCT7;CCT4
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,U2-type Prespliceosome Assembly (GO:1903241),3/23,8.649e-04,3.000e-02,18.347,129.402,SF3A3;SF3B4;SNRPG
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Regulation Of RNA Metabolic Process (GO:0051252),5/91,9.445e-04,3.014e-02,7.176,49.982,YTHDF2;TAF12;ZNF638;RC3H1;ZNF326
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Stress Granule Assembly (GO:0034063),3/24,9.825e-04,3.014e-02,17.473,121.006,YTHDF2;PRRC2C;UBAP2L
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Protein K48-linked Deubiquitination (GO:0071108),3/24,9.825e-04,3.014e-02,17.473,121.006,YOD1;RNF2;OTUD3
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,mRNA Polyadenylation (GO:0006378),3/24,9.825e-04,3.014e-02,17.473,121.006,PNPT1;PAPOLG;CDC73
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Definitive Hemopoiesis (GO:0060216),2/6,9.929e-04,3.014e-02,60.831,420.640,HIPK1;ZFP36L2
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",5/94,1.093e-03,3.208e-02,6.933,47.277,SF3B4;RBM8A;MAGOH;SRSF4;SRSF10
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,RNA Polyadenylation (GO:0043631),3/25,1.110e-03,3.208e-02,16.678,113.469,PNPT1;PAPOLG;CDC73
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Regulation Of Stem Cell Population Maintenance (GO:2000036),4/56,1.175e-03,3.317e-02,9.452,63.769,RBBP4;HDAC1;ARID4B;ARID1A
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,mRNA Transport (GO:0051028),4/58,1.340e-03,3.571e-02,9.101,60.204,XPO1;RBM8A;MAGOH;TPR
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Regulation Of Heterochromatin Formation (GO:0031445),2/7,1.383e-03,3.571e-02,48.663,320.386,KDM1A;TPR
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Cellular Response To Interferon-Alpha (GO:0035457),2/7,1.383e-03,3.571e-02,48.663,320.386,RO60;TPR
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Positive Regulation Of Plasminogen Activation (GO:0010756),2/7,1.383e-03,3.571e-02,48.663,320.386,ENO1;S100A10
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Positive Regulation Of Organelle Assembly (GO:1902117),4/61,1.617e-03,4.089e-02,8.621,55.407,SH3GLB1;CCDC88A;STIL;UBAP2L
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),15/763,1.665e-03,4.126e-02,2.552,16.325,KDM1A;HDAC1;ZNF281;ARID4B;ENO1;NOC2L;RNF2;CDC73;MAD2L2;SFPQ;RBBP4;TPR;MXD1;ATF3;TRIM33
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,mRNA Export From Nucleus (GO:0006406),4/62,1.717e-03,4.170e-02,8.472,53.938,XPO1;RBM8A;MAGOH;TPR
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,Positive Regulation Of Protein Targeting To Mitochondrion (GO:1903955),3/30,1.901e-03,4.524e-02,13.586,85.123,SH3GLB1;HTRA2;RNF2
DNA-RNA cross-attention,3,C3,165,GO_Biological_Process_2023,RNA Export From Nucleus (GO:0006405),4/65,2.045e-03,4.774e-02,8.054,49.872,XPO1;RBM8A;MAGOH;TPR
DNA-RNA cross-attention,3,C3,165,GO_Molecular_Function_2023,RNA Binding (GO:0003723),47/1411,4.609e-17,1.019e-14,5.394,202.891,SF3B4;MACF1;KDM1A;RBM8A;DDX1;WDR3;TUT4;HNRNPR;MTIF2;ADAR;ENO1;C1ORF52;NOC2L;ZFP36L2;RO60;EXOSC10;MAGOH;TPR;UBAP2L;ZNF326;LBR;SRSF10;TRMT1L;CCT4;LRRC47;SF3A3;PRPF38B;PNPT1;YTHDF2;RCC2;PABPC4;RC3H1;PRRC2C;PUM1;ILF2;CDK11B;UCHL5;HADHB;SFPQ;SNRNP40;SYF2;PRPF3;ZNF638;SNRPG;SRSF4;PKN2;EIF4G3
DNA-RNA cross-attention,3,C3,165,GO_Molecular_Function_2023,miRNA Binding (GO:0035198),4/29,9.031e-05,9.979e-03,19.687,183.330,PNPT1;TUT4;RC3H1;PUM1
